,meta_group,PRDX1,PROZ,PAM,RAD23B,GSPT2,KRT7,CORO1C,NDN
1,0,2837.280744,6769.793172,1270.935661,1533.329884,375.2081706,147.2423223,986.9892533,3344.717839
2,0,9931.753546,14907.2433,2922.570539,338.8503341,1071.753335,432.5851035,1298.899031,17054.31813
3,0,340.9982851,16108.78433,887.8178574,431.5561497,0,0,232.9251346,371.183154
4,0,30725.50343,9263.754323,1231.323813,0,1381.355686,745.7011743,648.2096838,3619.247387
5,0,10477.83332,33655.03574,3612.097574,0,1034.53298,191.5444132,1615.12203,5919.795287
6,0,27559.0663,29725.25017,2358.349902,1692.706281,1559.144034,834.4461496,2375.2741,23793.94792
7,0,0,6141.58919,756.5597872,0,0,586.9515721,338.3665073,938.9781391
8,0,0,30159.35914,2646.519334,0,570.4234607,552.1845674,1084.749187,3924.054497
9,0,2654.196782,4423.963187,791.4808729,774.7707569,939.0673352,0,621.0445288,2281.519017
10,0,16079.4074,108146.2149,14380.69666,5861.291315,2163.595607,3262.855527,2838.744718,66894.68802
11,0,2882.367169,117693.4307,5947.326636,8679.560028,0,2451.338739,2109.762651,32783.44562
12,0,4261.072889,66331.03762,3116.97551,2826.492027,211.5362447,16632.43832,746.7007947,16392.30609
13,0,13825.60131,10197.09855,3933.341906,0,729.9456028,0,3325.513407,2600.062133
14,0,35629.1203,74385.82371,16147.20222,5788.442373,15160.30722,3928.476512,264.03505,51056.60433
15,0,21088.10071,76591.82326,6127.570424,2768.107277,2449.829324,1028.396895,2781.083223,47202.00038
16,0,1926.069101,22517.175,2321.439396,305.0373368,760.8722807,1214.057311,1883.174517,3751.691986
17,0,5414.58482,8698.712516,733.8879429,0,1170.07538,5919.133136,0,824.7704879
18,0,421.7338754,23393.93214,834.3837969,709.9586509,892.2436021,2157.973538,1071.335825,22211.26462
19,0,0,59925.01812,7314.526552,647.0560251,2656.94264,1782.752744,1142.958081,13194.57486
20,0,610.570777,14073.65834,0,445.4009174,199.5528425,882.2692449,876.8064792,3680.227188
21,1,18066.28627,212636.7277,12052.11708,20408.43618,781.0746673,2095.712403,3691.476681,161005.8882
22,1,8513.662292,3345.178393,0,0,877.4550426,734.3534808,875.2876835,0
23,1,0,16198.05058,649.0871923,8069.044095,6511.546315,30495.03593,2123.686181,4570.321843
24,1,1112.843233,1874.121129,425.6885343,1234.575457,337.6404474,667.372233,642.2934197,3985.575546
25,1,3670.57152,31894.42181,2190.789188,3017.541155,717.7991874,5663.776366,742.4303832,3796.270678
26,1,619.0850272,5902.46761,830.4891721,1847.58672,2190.383819,11328.49604,1220.752696,2835.339929
27,1,188.9039405,4073.093325,1945.963444,2736.723561,4393.856165,7523.867886,5579.405962,202.4563499
28,1,5799.826983,22824.01773,2296.519344,0,1198.456922,2535.910295,2339.681723,3687.999581
29,1,3526.278881,2440.248939,1512.433582,446.5441568,522.459148,735.3959799,3267.189673,4970.976993
30,1,15898.18281,128680.5526,6335.774656,1960.653492,1796.509078,0,2852.126653,20305.61437
31,1,19307.5431,17050.39063,4912.090399,1098.878026,929.2241539,101.5342679,1173.803242,63790.26631
32,1,4517.173256,35108.71437,5777.903017,1321.800079,604.141662,236.203408,1350.392381,5996.862084
33,1,5387.739559,72208.64585,4561.479874,1085.722272,484.871212,201.7430128,772.0605602,8363.643824
34,1,7002.506549,7082.078289,2284.50147,1779.843416,307.6344655,1360.611677,1763.899961,19777.34037
35,1,30695.92141,79979.32973,7633.369249,0,1491.857103,0,3329.857442,5257.429934
36,1,28678.37796,39556.35378,7968.138079,7931.423725,2645.283011,0,2626.478486,62957.85181
37,1,5987.389855,17710.13497,2463.398598,0,0,0,148.0379281,382.7476346
38,1,8885.038301,35791.89129,2235.960631,1943.059589,947.3080546,676.5286018,767.2551196,75436.01932
39,1,12300.51873,38845.6977,3637.622201,4546.565907,1836.079287,2280.319771,841.7968977,93602.95297
40,1,31363.61952,16087.0168,4857.206838,5006.486962,2983.699662,2567.995521,3212.663096,101523.0056
41,1,8144.643934,22827.0913,3396.965179,4014.800311,0,618.8948269,1601.978326,78568.32308
42,1,26874.11101,11401.32663,3712.32691,591.4221456,1629.098346,1061.824626,1606.806454,5947.987614
43,1,54636.38039,21142.9468,3742.165495,7227.717173,6229.069415,796.2493408,2506.075089,66836.68637
44,1,16480.17135,7012.072035,6040.361494,10391.25566,4201.75122,2278.13856,8473.867015,93986.49645
45,1,3727.977323,11093.98713,3056.131591,3608.110243,1777.133457,626.2765237,7711.628395,55144.66489
46,1,22511.32052,44308.18847,4384.094039,7648.200325,6294.047839,744.3407287,5665.93632,195333.6787
47,1,27461.8614,23714.86797,4408.671567,8000.215176,5173.50329,2750.391687,1660.636736,66588.90267
48,1,31001.53265,27679.55389,5723.772759,10368.47455,6556.428666,2637.931309,2190.717056,154835.9488
49,1,6609.210108,25488.73094,4075.751328,645.8511506,1128.086676,2071.890491,848.2178445,1134.11462
50,1,42269.16701,27967.46818,6454.497987,17188.03532,11431.91934,2409.014826,3835.716453,197002.797
51,1,11352.76526,13264.79603,5586.76529,3137.212096,342.3753319,24624.13144,1680.863292,5545.843379
52,1,121.6106161,627.0452211,253.6895626,3196.670381,595.6830251,805.0786813,619.971429,2075.487872
53,1,422.4446108,29503.39673,4547.712254,11138.24131,4571.879372,3442.768201,1958.289242,230594.0348
54,1,1133.830964,539.059122,273.439832,6141.342077,439.8524141,262.7037606,1554.009737,4118.55052
55,1,11293.27446,5116.389083,1911.396438,8749.906064,4347.681209,23662.20907,5148.553388,10565.70096
56,1,90605.76939,34813.8764,8993.297023,34620.68814,24294.02669,116542.6816,2572.766815,109278.9774
57,1,10175.00725,46377.41583,6968.527022,0,4001.756161,3462.389842,5203.448021,5712.976006
